,NDVI_p25,NDVI_p50,NDVI_p75,NDVI_mean,NDVI_stdDev,NDVI_min,NDVI_max,EVI_p25,EVI_p50,EVI_p75,EVI_mean,EVI_stdDev,EVI_min,EVI_max,SAR_mean,SAR_stdDev,SAR_p25,SAR_p50,SAR_p75,SAR_min,SAR_max,NBR_mean,NBR_stdDev,NBR_p25,NBR_p50,NBR_p75,NBR_min,NBR_max,Event
2003,-10.75436249,-11.92595204,-11.92006419,-12.59420727,-2.832853622,-7.582023942,-38.2400798,-18.90881245,-21.18651008,-21.13572035,-22.51777005,-5.635565637,-13.79458879,-76.31067429,0.701480373,0.938259661,0,0,2,0,2,-8.559543771,-2.706174233,-6.85536011,-8.012767507,-8.001555483,-2.12361794,-31.15199721,1
2004,-11.21739032,-13.16891761,-13.16622792,-14.34042006,-4.706501446,-7.68784541,-54.18442617,-19.74805215,-23.65314351,-23.65314351,-26.26764487,15.43396473,-1283.069754,176.4822482,0.045298136,0.265440724,0,0,0,0,2,-9.380973247,-5.225016912,-6.287585888,-8.606395254,-8.595684681,4.869540228,-50.5199727,1
2005,-22.20627449,-29.16029839,-29.09387167,-29.2748588,-10.50820178,-5.179851195,-64.05876453,-83.27514952,-83.1419686,-82.97904873,-99.97784501,-1347.938412,15954.78229,-75998.23285,0.027254519,0.187377718,0,0,0,0,2,-22.92928989,-11.04204435,-14.94902813,-21.92146247,-21.8588088,14.32483406,-59.09939153,1
2006,-46.23019977,-51.64402677,-51.55273683,-55.59662485,-12.9908288,-30.97125778,-87.6961203,-99.87060024,-115.3674343,-115.0717142,-134.7702454,-49.62443936,-61.27962607,-275.723752,0.167238275,0.473596883,0,0,0,0,2,-25.03266437,-17.34343029,-14.84963091,-21.03589961,-20.95419996,5.803786974,-71.49252787,1
2007,-18.03002814,-19.19426811,-19.17656422,-19.66653033,-2.800420617,-12.845511,-32.38697318,-26.98204943,-28.91630194,-28.88113584,-29.77181838,-4.460562446,-19.21160506,-52.52434794,0.018341169,0.168086583,0,0,0,0,2,-2.368569523,-8.606133207,3.656810626,-2.133896928,-2.083404451,21.84274732,-32.68687309,1
2008,-11.11512897,-12.84815722,-12.82099403,-14.48458599,-5.033871606,-7.054582594,-45.25105941,-17.60395994,-19.89140192,-19.84053814,-23.04699738,-8.72868536,-12.47588539,-83.08494977,0.13851475,0.444481461,0,0,0,0,2,-2.967760756,-7.951812132,2.619339524,-0.276136776,-0.215580722,8.19809974,-34.36371788,1
2009,-14.01423037,-16.73061224,-16.6954573,-16.88328319,-4.18364016,-4.378709348,-33.43752848,-21.18209722,-24.84336544,-24.79848771,-25.09963132,-5.773171898,-7.061557742,-51.90647899,0.04351508,0.246163287,0,0,0,0,2,-10.26398582,-4.922180786,-7.070523996,-10.15301825,-10.11782995,10.64812873,-31.19351938,1
2010,-18.36258375,-21.46572257,-21.39920211,-24.7322358,-9.546735685,-12.08352671,-69.19525623,-32.121905,-37.55236582,-37.43430916,-44.39528539,-21.4409877,-22.63999181,-176.6617124,0.012613024,0.127918664,0,0,0,0,2,-8.644487632,-12.46347384,-0.195176277,-6.387339151,-6.293870325,20.40236237,-59.26823206,1
2011,-27.29457662,-36.62438641,-36.56588377,-36.66948543,-11.68461143,-16.67070104,-80.20404269,-64.67188163,-74.63465011,-74.51729864,-79.12697309,-22.03514199,-42.06528869,-197.3431269,0.105060701,0.366897721,0,0,0,0,2,-0.700577425,-19.32714104,14.14859019,-2.221587297,-2.069069105,35.59365493,-60.61528669,1
2012,-47.6486223,-56.11082067,-55.96606652,-54.35856355,-22.46974666,31.09895627,-87.53258309,-130.8747421,-154.6084998,-154.2347371,-160.279823,-79.22202017,1059.585982,-1613.097034,0.106609247,0.343515178,0,0,0,0,2,-33.07763315,-23.14901876,-17.41772268,-30.540454,-30.32606222,22.86855373,-88.73043163,1
